Product,Category,Features
"Neutrogena Liquid Facial Cleansing Formula, Fragrance-Free",cleansers,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Comedogenic Rating (2)', 'Comedogenic Rating (2)']"
Bioderma Hydrabio H2O (Micellar Water),cleansers,"['Brightening', 'Good for Dry Skin', 'Anti-Aging']"
The Body Shop Vitamin C Microdermabrasion,cleansers,"['Fungal Acne Trigger', 'Brightening', 'Comedogenic Rating (2)', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Silicone', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Allergens', 'Allergens', 'Allergens']"
Alba Botanica Acne Dote Face & Body Scrub,cleansers,"['Promotes Wound Healing', 'Bad for Sensitive Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Acne-Fighting', 'Anti-Aging', 'Good for Oily Skin', 'Allergens', 'Allergens', 'Allergens', 'Good for Oily Skin', 'Good for Sensitive Skin']"
Shiseido Benefiance Extra Creamy Cleansing Foam,cleansers,"['Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Comedogenic Rating (1)']"
"Olay Daily Facials Deeply Clean Wipes, 4-in-1 Water Activated Cloths",cleansers,"['Anti-Aging', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Anti-Aging', 'Paraben', 'Bad for Oily Skin', 'Allergens', 'Paraben', 'Good for Sensitive Skin']"
Pond's Cold Cream Cleanser,cleansers,"['Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Paraben', 'Comedogenic Rating (2)', 'Comedogenic Rating (2)']"
Dermalogica Daily Microfoliant,cleansers,"['Acne-Fighting', 'Fungal Acne Trigger', 'Acne-Fighting', 'Acne-Fighting', 'Comedogenic Rating (2)', 'Anti-Aging', 'Good for Oily Skin', 'Good for Oily Skin', 'Allergens', 'UV Protection']"
Banila Co. Clean It Zero Classic,cleansers,"['Good for Dry Skin', 'Fungal Acne Trigger', 'Paraben', 'Comedogenic Rating (2)']"
Estee Lauder Perfectly Clean Splash Away Foaming Cleanser,cleansers,"['Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Bad for Sensitive Skin']"
The Body Shop Vitamin C Facial Cleansing Polish,cleansers,"['Brightening', 'Good for Dry Skin', 'Bad for Oily Skin', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Good for Sensitive Skin']"
Neutrogena Fresh Foaming Cleanser,cleansers,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Sulfate', 'Sulfate']"
Simple Micellar Makeup Remover Wipes,cleansers,"['Fungal Acne Trigger', 'Promotes Wound Healing', 'Comedogenic Rating (2)', 'Good for Dry Skin', 'Bad for Sensitive Skin', 'Comedogenic Rating (2)', 'Anti-Aging']"
SkinCeuticals Clarifying Cleanser,cleansers,"['Fungal Acne Trigger', 'Anti-Aging', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Acne-Fighting', 'Comedogenic Rating (2)']"
ETUDE HOUSE Baking Powder Pore Cleansing Foam,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
Shiseido Perfect Cleansing Oil,cleansers,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Promotes Wound Healing', 'Anti-Aging', 'Bad for Dry Skin']"
Krave Beauty Matcha Hemp Hydrating Cleanser,cleansers,"['Promotes Wound Healing', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Anti-Aging', 'Good for Oily Skin']"
Purito Defence Barrier Ph Cleanser,cleansers,"['Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Anti-Aging', 'Good for Oily Skin']"
belif The True Tincture Cleansing Stick - Chamomile,cleansers,"['Fungal Acne Trigger', 'Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Sensitive Skin', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Bad for Oily Skin', 'Bad for Sensitive Skin', 'Bad for Sensitive Skin', 'Anti-Aging', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Bad for Sensitive Skin']"
Shu Uemura Anti/Oxi+ Pollutant & Dullness Clarifying Cleansing Oil,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Bad for Oily Skin', 'Anti-Aging', 'Anti-Aging', 'Good for Oily Skin', 'Allergens', 'Allergens']"
Kiehl's Epidermal Re-Texturizing Micro-Dermabrasion,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Comedogenic Rating (2)', 'Good for Dry Skin', 'Bad for Sensitive Skin', 'Silicone', 'Fungal Acne Trigger', 'Paraben', 'Paraben', 'Comedogenic Rating (2)']"
LABIOTTE Wine Sherbet Cleanser,cleansers,"['Fungal Acne Trigger', 'Bad for Oily Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Anti-Aging', 'Anti-Aging', 'Fungal Acne Trigger', 'Anti-Aging', 'Comedogenic Rating (2)']"
Kleveru Sea Buckthorn Cleansing Gel,cleansers,"['Acne-Fighting', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Oily Skin']"
Purito Centella Green Level Calming Toner,toners,"['Promotes Wound Healing', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Bad for Sensitive Skin', 'Good for Oily Skin', 'Good for Oily Skin']"
Hada Labo Gokujyun Lotion Refill Pouch,toners,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Paraben']"
Iunik Tea Tree Relief Toner,toners,"['Acne-Fighting', 'Brightening', 'Promotes Wound Healing', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Oily Skin', 'Good for Sensitive Skin', 'Promotes Wound Healing']"
Olay Oil-Minimizing Toner,toners,"['Fungal Acne Trigger', 'Good for Oily Skin', 'Bad for Dry Skin', 'Good for Oily Skin']"
Laneige Essential Power Skin Refiner_Moisture,toners,"['Promotes Wound Healing', 'Good for Dry Skin', 'Brightening', 'Good for Dry Skin', 'Good for Dry Skin', 'Silicone', 'Bad for Dry Skin', 'Fungal Acne Trigger']"
Clinique Clarifying Lotion 4,toners,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'UV Protection', 'Bad for Dry Skin']"
Pixi Glow Tonic To-Go Pads,toners,"['Promotes Wound Healing', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Good for Sensitive Skin']"
Purito ABP Triple Synergy Liquid,toners,"['Anti-Aging', 'Promotes Wound Healing', 'Anti-Aging', 'Acne-Fighting', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Good for Oily Skin']"
IsNtree Hyaluronic Acid Toner,toners,"['Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Sensitive Skin']"
SECRET KEY Aloe Soothing Moist Toner,toners,"['Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Oily Skin', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Good for Sensitive Skin', 'Good for Sensitive Skin', 'Good for Sensitive Skin']"
Estee Lauder Perfectly Clean Fresh Balancing Lotion,toners,"['Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Good for Oily Skin']"
KLAIRS Supple Preparation Unscented Facial Toner,toners,"['Acne-Fighting', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Brightening', 'Good for Dry Skin', 'Promotes Wound Healing', 'Anti-Aging', 'Good for Sensitive Skin']"
CosRX Light Fit Real Water Toner to Cream,toners,"['Brightening', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Silicone']"
TONYMOLY The Chok Chok Green Tea Watery Skin,toners,"['Bad for Sensitive Skin', 'Good for Dry Skin', 'Bad for Dry Skin', 'Good for Oily Skin']"
BENTON Cacao Moist and Mild Toner,toners,"['Promotes Wound Healing', 'Acne-Fighting', 'Good for Dry Skin', 'Promotes Wound Healing', 'Acne-Fighting']"
Herbivore Botanicals Jasmine Green Tea Balancing Toner,toners,"['Acne-Fighting', 'Good for Oily Skin', 'Good for Oily Skin', 'Good for Sensitive Skin']"
Estee Lauder Nutritious Radiant Vitality Energy Lotion,toners,"['Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Bad for Dry Skin']"
Balea Gesichtswasser Ultra Sensitive,toners,"['Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging']"
Cezanne Skin Conditioner High Moist,toners,"['Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Promotes Wound Healing', 'Anti-Aging', 'Anti-Aging', 'Good for Oily Skin', 'Paraben', 'Paraben', 'Good for Oily Skin', 'Good for Sensitive Skin']"
"Clean & Clear Essentials Deep Cleaning Toner, Sensitive Skin",toners,"['Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'UV Protection', 'Bad for Dry Skin', 'Good for Sensitive Skin']"
Shiseido Future Solution LX Concentrated Balancing Softener,toners,"['Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Bad for Dry Skin', 'Good for Oily Skin', 'Silicone', 'Fungal Acne Trigger', 'Bad for Dry Skin', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens']"
ACWELL Licorice PH Balancing Cleansing Toner,toners,"['Acne-Fighting', 'Anti-Aging', 'Good for Oily Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Acne-Fighting']"
Hada Labo Super Hyaluronic Acid Hydrating Lotion Light,toners,"['Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Paraben']"
Hada Labo Japan Skin Institute Gokujun Premium Hyaluronic Solution,toners,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Paraben']"
Neutrogena Clear Pore Oil-Eliminating Astringent,toners,"['Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'UV Protection', 'Bad for Dry Skin', 'Good for Oily Skin', 'Good for Sensitive Skin']"
So Cool So Me 3Week Skin Solution Power Magic Toner,toners,"['Brightening', 'Anti-Aging', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Good for Oily Skin', 'Good for Oily Skin']"
Biologique Recherche Lotion P50W (Phenol-Free),toners,"['Acne-Fighting', 'Anti-Aging', 'Brightening', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Good for Oily Skin', 'Anti-Aging']"
Ren Ready Steady Glow Daily AHA Tonic,toners,"['Acne-Fighting', 'Bad for Sensitive Skin', 'Anti-Aging', 'Allergens']"
Round Lab 1025 Dokdo Toner,toners,"['Promotes Wound Healing', 'Bad for Oily Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Oily Skin']"
HALE. Stay Toned Balancing Essence Toner,toners,"['Acne-Fighting', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Brightening', 'Anti-Aging', 'Good for Sensitive Skin']"
Estee Lauder Perfectly Clean Multi-Action Toning Lotion/Refiner,toners,"['Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Bad for Dry Skin']"
MUJI Light Toning Water High Moisture,toners,"['Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Good for Oily Skin']"
Thayers Witch Hazel Aloe Vera Formula Rose Petal ,toners,"['Anti-Aging', 'Good for Oily Skin']"
Whamisa Organic Seeds Peeling Finger Mitt : Pore Care,toners,"['Acne-Fighting', 'Good for Dry Skin', 'Acne-Fighting', 'Promotes Wound Healing', 'Good for Dry Skin', 'Bad for Oily Skin', 'Anti-Aging', 'Anti-Aging']"
SECRET KEY Milk Brightening Toner,toners,"['Good for Dry Skin', 'Good for Oily Skin', 'Fungal Acne Trigger']"
Dermalogica Antioxidant Hydramist,toners,"['Brightening', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Anti-Aging', 'Good for Oily Skin', 'Fungal Acne Trigger', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Good for Sensitive Skin']"
Dermalogica Gentle Soothing Booster,toners,"['Good for Sensitive Skin', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'UV Protection', 'Paraben', 'Paraben']"
Thayers Alcohol-Free Unscented Witch Hazel Toner,toners,"['Anti-Aging', 'Good for Sensitive Skin']"
SECRET KEY Tea Tree Refresh Calming Toner,toners,"['Good for Sensitive Skin', 'Acne-Fighting', 'Bad for Dry Skin', 'Good for Oily Skin', 'Good for Oily Skin', 'Good for Sensitive Skin', 'Good for Sensitive Skin']"
Shiseido Benefiance WrinkleResist24 Balancing Softener Enriched,toners,"['Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Anti-Aging', 'Bad for Dry Skin', 'Anti-Aging', 'UV Protection', 'Bad for Dry Skin', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens']"
THE FACE SHOP Chia Seed Soothing Mist Toner,toners,"['Promotes Wound Healing', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Silicone', 'Fungal Acne Trigger']"
Nakeup Face Stress Zero Toner,toners,"['Promotes Wound Healing', 'Good for Oily Skin', 'Good for Sensitive Skin']"
Indie Lee CoQ-10 Toner,toners,"['Bad for Sensitive Skin', 'Anti-Aging', 'Promotes Wound Healing', 'Good for Sensitive Skin']"
The Body Shop British Rose Petal Soft Gel Toner,toners,"['Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Good for Sensitive Skin']"
Bioderma Sébium Lotion,toners,"['Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
ALWAYS BE PURE Forest Therapy Ultra Calming Toner,toners,"['Brightening', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Anti-Aging', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Acne-Fighting', 'Good for Oily Skin', 'Good for Sensitive Skin', 'Brightening']"
Haruharu Wonder Black Rice Hyaluronic Toner,toners,"['Bad for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Promotes Wound Healing', 'Bad for Dry Skin']"
CosRX Hydrium Watery Toner,toners,"['Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Good for Oily Skin', 'Promotes Wound Healing']"
MISSHA Time Revolution White Cure Blanc Tone-Up Lotion,toners,"['Anti-Aging', 'Fungal Acne Trigger', 'Brightening', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'Comedogenic Rating (1)', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Silicone', 'Silicone', 'Comedogenic Rating (2)', 'Allergens', 'Allergens']"
Iunik Vitamin Hyaluronic Acid Vitalizing Toner,toners,"['Acne-Fighting', 'Brightening', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin']"
Hada Labo Gokujyun Lotion Light,toners,"['Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Paraben']"
Laneige Essential Power Skin Refiner_Light,toners,"['Promotes Wound Healing', 'Good for Dry Skin', 'Brightening', 'Good for Dry Skin', 'Good for Dry Skin', 'Silicone', 'Bad for Dry Skin', 'Fungal Acne Trigger']"
Hada Labo Goku-jyun Light Lotion,toners,"['Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Bad for Dry Skin', 'Paraben']"
Whamisa Organic Flowers Deep Rich Essence Toner,toners,"['Acne-Fighting', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Bad for Sensitive Skin', 'Fungal Acne Trigger', 'Good for Sensitive Skin', 'Good for Sensitive Skin']"
ETUDE HOUSE Soonjung pH 5.5 Relief Toner,toners,"['Promotes Wound Healing', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Oily Skin']"
Purito Centella Green Level All In One Mild Pad,toners,"['Acne-Fighting', 'Promotes Wound Healing', 'Acne-Fighting', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Bad for Oily Skin']"
Laneige Cream Skin Toner & Moisturizer,toners,"['Fungal Acne Trigger', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Anti-Aging', 'Good for Oily Skin']"
IsNtree Green Tea Fresh Toner,toners,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Acne-Fighting', 'Good for Oily Skin', 'Good for Oily Skin']"
Bioderma Hydrabio Tonique,toners,"['Brightening', 'Good for Dry Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Good for Oily Skin']"
Hada Labo Shirojyun Lotion,toners,"['Brightening', 'Brightening', 'Promotes Wound Healing', 'Good for Dry Skin', 'Paraben']"
IT'S SKIN Collagen Nutrition Toner 150ml,toners,"['Brightening', 'Good for Dry Skin', 'Good for Dry Skin', 'Silicone', 'Anti-Aging', 'Fungal Acne Trigger', 'Fungal Acne Trigger', 'UV Protection', 'Bad for Dry Skin', 'Comedogenic Rating (2)']"
KLAIRS Supple Preparation Unscented Toner,toners,"['Acne-Fighting', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Brightening', 'Good for Dry Skin', 'Promotes Wound Healing', 'Anti-Aging', 'Good for Sensitive Skin']"
Skin 1004 Madagascar Centella Asiatica Toner,toners,"['Anti-Aging', 'Brightening', 'Promotes Wound Healing', 'Promotes Wound Healing']"
CosRX AHA BHA Vitamin C Daily Toner,toners,"['Brightening', 'Promotes Wound Healing', 'Anti-Aging', 'Acne-Fighting', 'Anti-Aging', 'Brightening', 'Good for Dry Skin', 'Good for Oily Skin', 'Acne-Fighting']"
CosRX Full Fit Propolis Synergy Toner,toners,"['Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Fungal Acne Trigger']"
Human Heart Nature Hydrating Face Toner,toners,"['Anti-Aging', 'Good for Dry Skin']"
Mamonde Rose Water Toner,toners,"['Good for Dry Skin', 'Good for Dry Skin', 'Fungal Acne Trigger']"
Laneige Water Bank Mineral Skin Mist 60ml,toners,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Good for Oily Skin', 'Fungal Acne Trigger', 'Good for Sensitive Skin']"
Arcona Triad Pads,toners,"['Anti-Aging', 'Bad for Dry Skin', 'Good for Oily Skin', 'Allergens']"
Sioris Feel So Fresh Toner,toners,"['Acne-Fighting', 'Promotes Wound Healing', 'Good for Oily Skin', 'Good for Sensitive Skin']"
INNISFREE Orchid Skin,toners,"['Brightening', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Silicone', 'Bad for Dry Skin', 'Good for Oily Skin', 'Silicone', 'Fungal Acne Trigger']"
Jumiso Yes I Am Toner AHA 5%,toners,"['Promotes Wound Healing', 'Anti-Aging', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Good for Oily Skin', 'Anti-Aging', 'Fungal Acne Trigger']"
SheaMoisture African Black Soap Problem Skin Toner,toners,"['Good for Dry Skin', 'Acne-Fighting', 'Acne-Fighting', 'Acne-Fighting', 'Brightening', 'Good for Sensitive Skin']"
Naruko Taiwan Magnolia Brightening and Firming Toner EX,toners,"['Acne-Fighting', 'Brightening', 'Brightening', 'Brightening', 'Good for Sensitive Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Oily Skin', 'Comedogenic Rating (2)', 'Brightening']"
TIA'M My Signature Vita B5 Toner,toners,"['Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging']"
INNISFREE Green Tea Seed Skin,toners,"['Fungal Acne Trigger', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Good for Oily Skin']"
Zeroid Pimprove Toner,toners,"['Promotes Wound Healing', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Anti-Aging', 'Anti-Aging']"
Dickinson's Enhanced Witch Hazel Hydrating Toner - Alcohol Free,toners,"['Promotes Wound Healing', 'Anti-Aging', 'Fungal Acne Trigger', 'Good for Sensitive Skin']"
Chica Y Chico Skin Texture Toner,toners,"['Brightening', 'Promotes Wound Healing', 'Good for Dry Skin', 'Anti-Aging', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Brightening', 'Good for Oily Skin', 'Good for Oily Skin', 'Fungal Acne Trigger']"
Heimish Refresh Water,toners,"['Bad for Sensitive Skin', 'Promotes Wound Healing', 'Bad for Sensitive Skin', 'Bad for Sensitive Skin', 'Bad for Sensitive Skin', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Acne-Fighting', 'Bad for Dry Skin', 'Bad for Sensitive Skin', 'Good for Sensitive Skin']"
Laneige Fresh Calming Toner,toners,['Good for Dry Skin']
MISSHA Super Aqua Skin Smooth Peeling Toner,toners,"['Anti-Aging', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Acne-Fighting', 'Anti-Aging', 'Bad for Dry Skin', 'Fungal Acne Trigger', 'Anti-Aging', 'Good for Sensitive Skin']"
Aubree Botanical Calendula Toner,toners,"['Good for Sensitive Skin', 'Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Fungal Acne Trigger', 'Good for Oily Skin']"
T.N. Dickinson's Witch Hazel Astringent,toners,['']
Kiku-Masamune Sake Brewing Skin Care Lotion,toners,"['Brightening', 'Fungal Acne Trigger', 'Good for Dry Skin', 'Good for Dry Skin', 'Anti-Aging', 'Paraben', 'Bad for Dry Skin', 'Paraben']"
Celepiderme Hug Your Skin Moisture Toner,toners,"['Brightening', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Anti-Aging', 'Good for Sensitive Skin', 'Bad for Oily Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Good for Oily Skin']"
Bonajour Eggplant Daily BHA Toner,toners,"['Good for Dry Skin', 'Acne-Fighting', 'Acne-Fighting', 'Fungal Acne Trigger', 'Anti-Aging']"
HOLIKA HOLIKA Less On Skin Toner,toners,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin']"
Tarte Knockout Tingling Treatment,toners,"['Acne-Fighting', 'Anti-Aging', 'Brightening', 'Good for Dry Skin', 'Acne-Fighting', 'Bad for Oily Skin', 'Anti-Aging', 'Anti-Aging']"
Nip + Fab Glycolic Fix Liquid Glow,toners,"['Brightening', 'Promotes Wound Healing', 'Anti-Aging', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Anti-Aging', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens', 'Allergens']"
Skin Watchers Brightening Flower Toner,toners,"['Brightening', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Good for Oily Skin']"
Origins GinZing Energy-Boosting Treatment Lotion Mist,toners,"['Brightening', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Comedogenic Rating (2)', 'Anti-Aging', 'Bad for Sensitive Skin', 'Anti-Aging', 'Fungal Acne Trigger', 'Bad for Dry Skin', 'Allergens', 'Allergens', 'Allergens', 'Good for Oily Skin']"
Neutrogena Deep Clean Blackhead Eliminating Toner,toners,"['Anti-Aging', 'Brightening', 'Good for Dry Skin', 'Good for Dry Skin', 'Acne-Fighting', 'Bad for Sensitive Skin', 'Bad for Dry Skin']"
Purito Centella Unscented Toner,toners,"['Promotes Wound Healing', 'Promotes Wound Healing', 'Promotes Wound Healing', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Oily Skin', 'Good for Oily Skin']"
Whamisa Organic Flowers Olive Leaf Mist,toners,"['Acne-Fighting', 'Promotes Wound Healing', 'Bad for Sensitive Skin', 'Bad for Dry Skin', 'Good for Oily Skin', 'Allergens']"
Whamisa Organic Flowers Damask Rose Petal Mist,toners,"['Acne-Fighting', 'Good for Sensitive Skin', 'Bad for Sensitive Skin', 'Bad for Dry Skin', 'Good for Sensitive Skin', 'Good for Sensitive Skin']"
Clinique Clarifying Lotion 3,toners,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Acne-Fighting', 'Anti-Aging', 'UV Protection', 'Bad for Dry Skin']"
NATURE REPUBLIC Soothing & Moisture Aloe Vera 92% Soothing Gel Mist,toners,"['Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Good for Dry Skin', 'Bad for Dry Skin', 'Fungal Acne Trigger', 'Comedogenic Rating (2)', 'Good for Sensitive Skin']"
Avene Thermal Spring Water,toners,['']
Estee Lauder Soft Clean Silky Hydrating Lotion,toners,"['Fungal Acne Trigger', 'Comedogenic Rating (1)', 'Good for Dry Skin', 'Good for Dry Skin', 'Promotes Wound Healing', 'Good for Dry Skin', 'Fungal Acne Trigger', 'Paraben', 'Bad for Oily Skin']"
"Mario Badescu Facial Spray with Aloe, Herbs, and Rosewater",toners,"['Good for Dry Skin', 'Comedogenic Rating (2)', 'Fungal Acne Trigger', 'Allergens', 'Allergens', 'Good for Sensitive Skin']"
The Body Shop Tea Tree Skin Clearing Toner,toners,"['Good for Dry Skin', 'Acne-Fighting', 'Acne-Fighting', 'Anti-Aging', 'Fungal Acne Trigger', 'Good for Oily Skin', 'Bad for Dry Skin', 'Allergens', 'Allergens', 'Good for Oily Skin']"
